# 1.因为最初全量导入PAAS平台时，模型唯一标识是由“模型名+日期”组成，后续批次新增的模型日期又与最初的导入的日期不一样，
#  所以导致模型唯一标识没有规律，不方便管理。因此以下这些模型唯一标识是从PAAS平台导出，方便后续更新模型时模型唯一标识不会有变化。
# 2.除了以下模型，后续新增的模型导入PAAS，模型唯一标识都是与模型名一样。
DATANAME,XMLID
TR_MEMBERCNT_RNK,TR_MEMBERCNT_RNK_20161017
TW_PROVCORP_UP,TW_PROVCORP_UP_20161017
TR_CORP_CMCC_CNTRY,TR_CORP_CMCC_CNTRY_20161017
TW_CORP_STDPRDCT,TW_CORP_STDPRDCT_20161017
TR_CORP_PRDCT,TR_CORP_PRDCT_20161017
TR_EBOX_UNIT,TR_EBOX_UNIT_20161017
TO_E_NET_CMPLN_D,TO_E_NET_CMPLN_D_20161017
BAS_TEST,f6efa11e65eac39298b158c70e130a11
TS_BIXF_NET_SHORT_CDR_BUSI_DAY,TS_BIXF_NET_SHORT_CDR_BUSI_DAY_20161017
TTTT,0872613bc2f7f949bca433f0f9d12756
TM_NEWBUSI_USR_MO,TM_NEWBUSI_USR_MO_20161017
TM_TD_SMSMMS_AOA_BUSI_MO,TM_TD_SMSMMS_AOA_BUSI_MO_20161017
TM_CALLBUSI_STAT_DAY,TM_CALLBUSI_STAT_DAY_20161017
TW_USR_PRVC_ACTCALL_MO,TW_USR_PRVC_ACTCALL_MO_20161017
XDR_CESHI,7474601d3e7a9430265c4af088e9d96f
TS_LOAD_GIFT_DST_MO,TS_LOAD_GIFT_DST_MO_20161017
TW_SJDCRM_BASS_NBR_SIM_M,TW_SJDCRM_BASS_NBR_SIM_M_20161017
TW_SJDCRM_BASS_SIM_RES_M,TW_SJDCRM_BASS_SIM_RES_M_20161017
TO_LJDX_HANDLE_BLACKLIST_ADAY,TO_LJDX_HANDLE_BLACKLIST_ADAY_20161017
TW_CORP_DDLINE_M,TW_CORP_DDLINE_M_20161017
TW_CORP_GPFLUX_M,TW_CORP_GPFLUX_M_20161017
TW_CORP_PRDCT_OWE_M,TW_CORP_PRDCT_OWE_M_20161017
TW_PERS_CORP_IND_M,TW_PERS_CORP_IND_M_20161017
TW_PERS_CORP_CNSM_M,TW_PERS_CORP_CNSM_M_20161017
TW_CORP_MBR_ACT_M,TW_CORP_MBR_ACT_M_20161017
TS_E_MM_MUSICJD_ORDR_FMM_D,TS_E_MM_MUSICJD_ORDR_FMM_D_20161017
TS_E_MM_MUSICJD_USE_FMM_D,TS_E_MM_MUSICJD_USE_FMM_D_20161017
TS_P_MM_CPA_USR_DTL_M,TS_P_MM_CPA_USR_DTL_M_20161017
TW_CORP_IOT_MBR_M,TW_CORP_IOT_MBR_M_20161017
TW_CORP_ZBFZ_LIST_MO,TW_CORP_ZBFZ_LIST_MO_20161017
TO_ORDER_DAY,TO_ORDER_DAY_20161017
TS_ICP_APP_AREA,TS_ICP_APP_AREA_20161017
TS_DNO_GPRS_CDR,TS_DNO_GPRS_CDR_20161017
TO_R_BLANKCARD_SCRAP_LOSSDEL_D,TO_R_BLANKCARD_SCRAP_LOSSDEL_D_20161017
BAS_TEST_20170315_1,352dfcf3ddc5a4e3f5be1460e8a3c844
BAS_TEST_20170315_2,645b11f5fbf45cba951da02b892b48aa
TEST_V1_20170324_PS_1,d20395519da255dd52aea2bcb9e600fd
TR_CARRY_TYP,TR_CARRY_TYP_20161017
TR_CNCT_NBR,TR_CNCT_NBR_20161017
TR_NBRSEG,TR_NBRSEG_20161017
TR_NBRSEG_TO_DBCTL,TR_NBRSEG_TO_DBCTL_20161017
TS_USR_BRND,TS_USR_BRND_20161017
TS_USR_BRND_TO_DBCTL,TS_USR_BRND_TO_DBCTL_20161017
TT_NUM_PREFIX,TT_NUM_PREFIX_20161017
TT_PREFIX_LEN,TT_PREFIX_LEN_20161017
TT_SPSERV_PRFX,TT_SPSERV_PRFX_20161017
TO_SP_SERV,TO_SP_SERV_20161017
TO_SP_CODE,TO_SP_CODE_20161017
TM_JF_SP_MO,TM_JF_SP_MO_20161017
ZJ_TO_BASS_PRDCT_ORDR_LOG,ZJ_TO_BASS_PRDCT_ORDR_LOG_20161101
ZJ_TO_BASS_PROTOCOL_MO,ZJ_TO_BASS_PROTOCOL_MO_20161101
ZJ_TO_BASS_SA_SR_ROLE,ZJ_TO_BASS_SA_SR_ROLE_20161101
ZJ_TO_BASS_SA_SR_OPERROLE,ZJ_TO_BASS_SA_SR_OPERROLE_20161101
ZJ_TO_BASS_SER_LOG_MO,ZJ_TO_BASS_SER_LOG_MO_20161101
ZJ_TO_BASS_SIM_RES_MO,ZJ_TO_BASS_SIM_RES_MO_20161101
